"u","j378","j395","j410","j430","g","j515","r","j660","i","j861","z","GCs"
14.693,14.236,13.953,13.581,13.552,13.377,13.299,13.203,13.266,13.287,13.284,13.272,"0"
22.875,22.073,21.802,23.961,24.382,22.665,21.83,21.094,20.623,20.224,20.347,19.9,"0"
18.809,18.526,18.349,17.852,17.752,17.36,17.227,16.857,16.818,16.693,16.667,16.639,"0"
17.628,17.507,17.38,16.616,16.551,16.008,15.83,15.373,15.287,15.104,15.029,14.977,"0"
19.211,19.071,18.915,17.841,17.611,16.886,16.782,16.015,15.906,15.725,15.629,15.593,"0"
16.021,15.8,15.692,15.035,14.972,14.513,14.346,13.952,13.905,13.765,13.723,13.696,"0"
21.858,22.455,20.747,20.48,20.859,19.569,19.429,18.382,18.118,17.891,17.75,17.703,"0"
19.84,19.999,19.547,19.189,19.255,18.671,18.593,18.085,18.022,17.917,17.832,17.867,"0"
20.444,20.236,19.76,19.594,19.771,19.444,19.334,18.988,18.954,18.956,18.862,18.998,"0"
16.767,16.516,16.416,15.811,15.745,15.351,15.2,14.868,14.827,14.726,14.716,14.702,"0"
21.658,22.471,21.972,20.832,20.257,19.126,18.85,17.774,17.449,16.817,16.474,16.38,"0"
20.801,20.96,20.405,19.686,19.447,18.672,18.573,17.739,17.635,17.382,17.245,17.205,"0"
18.809,18.888,18.414,17.608,17.463,16.836,16.665,16.084,15.999,15.844,15.786,15.751,"0"
18.35,18.221,18.12,17.412,17.419,16.974,16.803,16.446,16.413,16.28,16.224,16.227,"0"
15.451,15.286,15.153,14.459,14.391,13.902,13.757,13.331,13.28,13.207,13.097,13.069,"0"
20.749,20.403,20.33,20.118,19.916,19.784,19.49,19.465,19.436,19.366,19.2,19.299,"0"
19.306,19.119,18.807,18.629,18.5,18.341,18.189,17.977,17.991,17.868,17.89,17.871,"0"
19.32,19.018,18.859,18.559,18.457,18.154,18.037,17.765,17.747,17.67,17.595,17.638,"0"
18.296,18.064,17.851,17.472,17.429,17.125,16.974,16.722,16.682,16.606,16.6,16.582,"0"
21.828,23.855,23.529,20.964,21.55,20.167,20.272,18.921,18.611,18.213,17.947,17.87,"0"
19.256,19.303,19.283,18.536,18.481,18.035,17.851,17.469,17.392,17.252,17.202,17.157,"0"
20.426,20.932,21.003,19.176,19.086,18.027,17.946,16.766,16.56,16.235,16.04,15.967,"0"
23.872,22.234,20.768,21.75,21.01,20.587,20.339,20.194,20.194,20.172,19.971,20.325,"0"
23.522,22.259,21.571,22.105,21.294,20.009,19.963,18.731,18.553,18.173,17.956,17.907,"0"
20.605,20.445,20.097,18.886,18.752,17.916,17.822,16.919,16.77,16.564,16.425,16.393,"0"
19.91,19.716,19.752,18.98,18.913,18.304,18.152,17.555,17.49,17.297,17.233,17.169,"0"
19.741,19.738,19.378,19.292,19.116,18.87,18.738,18.473,18.449,18.337,18.253,18.305,"0"
18.116,17.849,17.73,17.277,17.223,16.888,16.796,16.493,16.45,16.351,16.336,16.343,"0"
18.483,18.441,18.19,17.436,17.344,16.775,16.638,16.098,16.026,15.866,15.802,15.762,"0"
21.511,20.812,20.591,20.326,19.937,19.011,19.022,17.861,17.598,17.255,17.028,16.943,"0"
18.83,18.496,18.586,17.916,17.965,17.521,17.315,17.015,16.985,16.842,16.804,16.793,"0"
15.246,14.892,14.797,14.239,14.147,13.813,13.657,13.358,13.339,13.256,13.228,13.215,"0"
15.991,15.969,15.63,14.814,14.647,14.045,13.903,13.36,13.287,13.204,13.097,13.067,"0"
18.929,18.619,18.504,18.025,17.933,17.684,17.542,17.268,17.268,17.131,17.107,17.142,"0"
16.297,15.831,15.554,15.194,15.16,14.986,14.923,14.803,14.851,14.803,14.853,14.847,"0"
18.243,18.094,17.916,17.196,17.153,16.606,16.447,16.009,15.95,15.777,15.725,15.691,"0"
20.762,20.665,20.198,20.474,20.382,20.224,19.851,19.756,19.676,19.73,19.989,19.951,"0"
19.608,19.104,18.937,18.383,18.396,17.853,17.612,17.247,17.188,17,16.93,16.92,"0"
21.021,22.022,20.672,20.006,20.323,18.921,18.755,17.484,17.104,16.515,16.165,16.051,"0"
20.854,20.454,20.119,19.893,19.778,19.391,19.264,18.945,18.886,18.791,18.697,18.712,"0"
20.142,20.26,19.61,19.537,19.458,19.115,18.902,18.665,18.593,18.511,18.463,18.473,"0"
21.333,22.713,21.287,21.573,21.105,20.629,20.948,19.624,19.189,18.433,17.975,17.907,"0"
22.865,21.346,22.662,20.866,20.379,19.46,19.365,18.274,18.127,17.81,17.64,17.552,"0"
15.377,15.163,15.084,14.497,14.439,14.049,13.911,13.585,13.563,13.471,13.432,13.418,"0"
20.981,20.944,21.187,19.703,19.778,18.762,18.575,17.387,17.001,16.34,15.978,15.893,"0"
19.02,18.978,18.721,18.205,18.119,17.687,17.481,17.154,17.117,16.995,17,16.931,"0"
22.292,24.295,21.762,21.423,21.437,20.62,20.355,19.179,18.694,18.072,17.71,17.583,"0"
20.404,20.511,20.818,19.172,18.956,18.161,18.056,17.11,16.954,16.752,16.632,16.55,"0"
19.272,19.231,18.933,18.228,18.076,17.491,17.358,16.839,16.753,16.613,16.538,16.53,"0"
18.814,18.516,18.321,17.757,17.69,17.198,17.039,16.658,16.603,16.481,16.449,16.436,"0"
16.385,16.393,16.061,15.153,14.972,14.291,14.186,13.453,13.341,13.187,13.042,13.014,"0"
21.45,21.266,20.843,21.371,20.898,21.003,20.659,20.43,21.017,20.31,20.298,20.912,"0"
20.328,21.21,20.265,19.958,19.777,19.298,19.216,18.767,18.695,18.532,18.553,18.393,"0"
21.322,21.068,21.556,20.43,20.757,20.122,19.884,19.457,19.519,19.297,19.231,19.149,"0"
16.203,16.165,15.664,14.925,14.651,13.938,13.748,13.134,13.036,12.997,12.783,12.759,"0"
21.952,23.229,21.503,21.439,21.075,20.94,20.378,20.582,20.268,20.131,20.045,20.119,"0"
17.825,17.629,17.532,16.872,16.793,16.313,16.158,15.762,15.708,15.595,15.563,15.539,"0"
21.917,21.335,20.12,19.812,20.065,18.608,18.308,17.27,16.81,15.885,15.402,15.257,"0"
18.321,18.363,17.989,17.005,16.795,16.112,15.984,15.26,15.153,14.972,14.884,14.84,"0"
20.233,20.633,20.122,19.506,19.523,19.013,18.83,18.445,18.411,18.244,18.19,18.181,"0"
21.868,21.806,20.886,21.023,21.301,21.708,22.572,21.12,20.977,20.896,20.492,21.4,"0"
18.545,18.45,18.459,17.827,17.746,17.302,17.115,16.776,16.735,16.606,16.526,16.53,"0"
21.469,20.729,20.809,20.576,20.919,20.429,20.275,19.704,19.693,19.44,19.413,19.13,"0"
19.558,19.506,19.272,18.198,17.838,17.118,17.066,16.164,16.021,15.805,15.715,15.66,"0"
15.533,15.321,15.147,14.439,14.343,13.844,13.674,13.257,13.197,13.152,13.026,13.007,"0"
20.247,19.956,20.019,19.079,19.004,18.55,18.406,17.927,17.882,17.663,17.632,17.567,"0"
18.975,19.036,18.702,17.753,17.559,16.953,16.813,16.137,16.026,15.858,15.794,15.741,"0"
14.796,14.584,14.45,13.773,13.698,13.219,13.07,12.777,12.608,12.686,12.449,12.419,"0"
21.841,21.309,20.422,20.246,20.312,19.116,18.951,17.724,17.393,16.903,16.591,16.535,"0"
18.208,18.077,17.908,17.288,17.248,16.788,16.643,16.242,16.199,16.061,16.049,16.01,"0"
18.65,18.083,17.812,17.581,17.476,17.203,17.107,16.84,16.811,16.709,16.683,16.666,"0"
20.159,20.034,19.532,18.63,18.299,17.58,17.463,16.654,16.522,16.3,16.202,16.138,"0"
21.692,21.536,23.604,20.383,20.383,20.001,19.911,19.416,19.418,19.297,19.227,19.226,"0"
21.471,21.075,24.124,20.435,20.811,20.163,20.293,19.101,18.911,18.672,18.541,18.476,"0"
20.096,20.194,19.913,18.925,18.712,18.168,18.019,17.276,17.157,16.995,16.924,16.864,"0"
20.313,20.607,20.368,19.85,20.038,19.566,19.527,19.208,19.135,19.062,19.029,19.052,"0"
18.185,18.089,17.896,16.927,16.798,16.243,16.117,15.507,15.428,15.254,15.171,15.154,"0"
20.599,21.151,21.16,19.962,19.86,19.531,19.26,18.886,18.836,18.665,18.653,18.657,"0"
19.106,19.013,18.873,18.245,18.189,17.623,17.518,17.024,16.961,16.793,16.737,16.731,"0"
21.671,22.404,20.559,20.025,21.084,20.78,20.844,20.219,20.031,20.167,20.287,20.151,"0"
18.248,18.151,17.731,16.88,16.685,16.029,15.82,15.225,15.127,14.938,14.843,14.811,"0"
20.228,20.054,20.852,19.703,19.797,19.149,18.84,18.468,18.407,18.28,18.203,18.161,"0"
18.314,18.049,17.9,17.3,17.215,16.759,16.608,16.222,16.173,16.042,16.012,15.996,"0"
22.524,21.369,20.46,21.167,20.06,19.235,18.869,17.845,17.5,16.998,16.695,16.589,"0"
20.801,22.989,20.956,20.098,19.94,19.514,19.22,18.628,18.561,18.332,18.285,18.163,"0"
20.98,22.053,21.547,20.518,20.113,19.528,19.55,18.327,18.142,17.82,17.579,17.525,"0"
18.257,18.133,18.029,17.266,17.208,16.676,16.523,16.11,16.049,15.921,15.869,15.86,"0"
19.454,19.35,18.8,17.798,17.509,16.579,16.533,15.4,15.204,14.907,14.74,14.684,"0"
17.632,17.689,17.332,16.235,15.965,15.149,15.093,14.121,13.958,13.698,13.549,13.503,"0"
22.485,21.494,20.664,21.109,20.437,20.007,19.92,19.507,19.343,19.257,19.02,19.157,"0"
20.1,20.749,20.567,19.369,18.945,18.262,18.15,17.374,17.246,17.027,16.913,16.851,"0"
20.825,22.179,20.819,20.136,19.963,19.245,19.191,18.238,18.138,17.898,17.753,17.66,"0"
21.65,21.36,22.724,19.878,19.704,19.217,19.05,18.535,18.422,18.337,18.211,18.194,"0"
17.536,17.299,17.222,16.733,16.7,16.334,16.203,15.896,15.864,15.746,15.734,15.727,"0"
17.932,17.887,17.557,16.491,16.242,15.512,15.447,14.605,14.486,14.302,14.2,14.172,"0"
21.775,22.536,22.815,20.522,20.218,19.683,19.435,18.808,18.75,18.521,18.488,18.424,"0"
20.491,19.759,19.936,19.452,19.41,19.267,18.999,18.916,18.836,18.788,18.834,18.798,"0"
20.734,23.216,21.315,21.047,20.978,20.15,20.132,18.767,18.429,17.95,17.658,17.549,"0"
20.493,20.145,20.483,19.154,19.134,18.44,18.283,17.762,17.66,17.505,17.4,17.414,"0"
16.988,16.724,16.627,16.032,15.984,15.579,15.417,15.07,15.044,14.924,14.887,14.87,"0"
20.543,21.44,20.821,19.767,19.708,19.199,18.969,18.556,18.407,18.25,18.09,18.13,"0"
18.195,18.105,17.929,17.118,17.011,16.476,16.337,15.812,15.737,15.579,15.509,15.482,"0"
24.685,20.818,23.668,21.724,21.341,20.463,20.182,19.013,18.694,18.072,17.749,17.688,"0"
16.201,15.979,15.856,15.288,15.237,14.86,14.721,14.41,14.392,14.293,14.279,14.273,"0"
21.445,21.455,21.804,23.439,22.053,21.388,21.168,20.808,20.328,19.94,19.891,19.756,"0"
21.368,21.295,21.219,20.856,20.886,20.566,20.277,19.919,19.895,19.779,19.646,20,"0"
18.831,18.706,18.507,17.817,17.771,17.276,17.146,16.714,16.652,16.531,16.48,16.453,"0"
20.901,23.212,20.238,20.104,20.094,19.923,19.918,19.398,19.158,19.05,18.954,19.003,"0"
16.874,16.671,16.548,15.919,15.847,15.4,15.239,14.874,14.826,14.705,14.674,14.634,"0"
21.659,22.849,22.062,21.042,21.05,20.463,20.466,19.491,19.393,19.2,19.06,19.031,"0"
18.156,18.09,17.857,16.995,16.854,16.254,16.098,15.55,15.471,15.331,15.282,15.25,"0"
14.462,14.209,14.087,13.547,13.467,13.137,13,12.718,12.69,12.674,12.582,12.597,"0"
21.516,20.816,20.312,20.039,20.216,19.767,19.481,19.412,19.401,19.303,19.274,19.159,"0"
19.725,19.272,19.185,18.346,18.196,17.488,17.271,16.745,16.654,16.469,16.359,16.341,"0"
18.188,18.122,17.763,16.857,16.618,15.925,15.817,15.065,14.955,14.773,14.679,14.652,"0"
19.506,19.21,19.11,18.405,18.39,18.013,17.831,17.497,17.481,17.363,17.276,17.304,"0"
18.655,18.496,18.432,17.736,17.643,17.18,17.001,16.636,16.586,16.474,16.432,16.402,"0"
23.63,20.75,21.312,20.548,20.426,20.181,19.983,19.585,19.496,19.365,19.314,19.319,"0"
20.738,20.037,20.143,19.095,18.793,17.944,17.915,16.854,16.693,16.429,16.28,16.226,"0"
21.06,21.064,21.673,19.642,19.358,18.495,18.459,17.505,17.369,17.139,16.958,16.934,"0"
16.459,16.225,16.161,15.519,15.462,15.018,14.866,14.5,14.455,14.336,14.305,14.299,"0"
21.099,20.356,21.343,20.6,20.514,20.144,19.849,19.838,19.758,19.572,19.419,19.571,"0"
21.647,20.097,20.27,19.236,19.194,18.093,17.913,16.847,16.442,15.743,15.354,15.236,"0"
20.318,20.672,20.199,19.694,19.635,19.23,19.233,18.788,18.809,18.646,18.617,18.586,"0"
15.424,15.227,15.126,14.464,14.407,13.938,13.785,13.419,13.356,13.277,13.188,13.179,"0"
21.936,21.794,20.77,21.247,21.488,19.828,19.701,18.383,18.033,17.547,17.191,17.118,"0"
14.81,14.447,14.303,13.83,13.762,13.461,13.334,13.114,13.065,13.094,12.957,12.953,"0"
20.747,24.236,22.401,22.207,21.438,21.036,20.856,20.781,20.575,20.477,20.445,20.472,"0"
17.131,16.943,16.744,15.896,15.764,15.116,14.921,14.357,14.263,14.076,13.974,13.943,"0"
20.937,19.853,19.647,18.899,18.905,17.644,17.375,16.347,15.894,14.927,14.446,14.3,"0"
21.421,23.452,20.371,22.029,21.131,21.022,20.721,20.549,20.191,20.514,20.451,20.68,"0"
20.901,20.77,20.601,19.82,19.645,19.129,18.954,18.518,18.391,18.299,18.207,18.268,"0"
17.874,17.783,17.569,16.753,16.634,16.08,15.935,15.417,15.337,15.175,15.118,15.084,"0"
21.365,21.555,23.217,21.585,20.695,19.556,19.257,18.127,17.645,16.567,16.035,15.839,"0"
18.081,17.873,17.789,17.209,17.156,16.763,16.588,16.227,16.18,16.033,16.01,15.991,"0"
22.501,22.491,22.766,21.454,22.06,22.096,21.18,20.976,20.567,20.623,20.212,20.602,"0"
17.714,17.404,17.24,16.79,16.735,16.449,16.31,16.089,16.073,15.972,15.979,15.971,"0"
20.595,20.609,19.787,18.865,18.484,17.5,17.433,16.235,16.042,15.732,15.527,15.471,"0"
21.332,21.753,20.871,21.994,21.514,21.263,22.046,19.953,19.707,19.321,19.145,18.832,"0"
19.626,19.85,19.502,18.553,18.488,17.825,17.717,17.128,17.026,16.868,16.78,16.746,"0"
16.859,16.617,16.468,15.897,15.804,15.443,15.3,14.975,14.949,14.859,14.852,14.841,"0"
19.792,19.975,19.809,18.994,18.993,18.361,18.198,17.681,17.636,17.472,17.316,17.324,"0"
17.344,17.238,17.067,16.342,16.256,15.747,15.588,15.123,15.049,14.906,14.855,14.825,"0"
18.408,18.135,17.988,17.219,17.162,16.612,16.421,15.94,15.871,15.712,15.67,15.621,"0"
20.195,20.096,20.682,20.662,20.272,20.023,20.26,19.783,19.938,19.779,19.788,19.961,"0"
21.254,20.677,20.298,21.11,20.17,20.382,20.359,20.071,19.944,20.083,20.084,19.899,"0"
19.686,19.382,19.462,18.082,17.754,16.93,16.907,15.802,15.635,15.367,15.221,15.177,"0"
17.039,16.857,16.797,16.197,16.15,15.659,15.523,15.116,15.05,14.901,14.84,14.805,"0"
18.717,18.654,18.247,17.2,16.868,16.1,16.024,15.074,14.936,14.707,14.577,14.534,"0"
14.813,14.613,14.528,13.937,13.872,13.488,13.349,13.069,13.008,13.032,12.901,12.892,"0"
17.734,17.662,17.264,16.321,16.12,15.423,15.32,14.552,14.444,14.26,14.161,14.127,"0"
19.325,19.374,18.908,18.471,18.445,17.852,17.725,17.282,17.216,17.046,16.99,16.97,"0"
17.108,16.835,16.736,16.182,16.106,15.745,15.593,15.273,15.239,15.12,15.086,15.078,"0"
21.703,20.23,20.318,20.127,20.056,19.464,19.468,19.079,19.067,18.974,18.884,18.983,"0"
21.427,23.682,22.996,21.962,22.886,21.458,21.651,20.516,20.328,20.549,20.232,20.539,"0"
16.65,16.437,16.319,15.757,15.71,15.286,15.155,14.816,14.774,14.666,14.658,14.619,"0"
21.055,20.859,20.003,19.24,19.233,17.929,17.803,16.575,16.242,15.751,15.459,15.376,"0"
20.545,20.1,20.143,19.811,19.793,19.411,19.429,18.939,18.897,18.737,18.686,18.641,"0"
16.676,16.536,16.155,15.32,15.088,14.384,14.185,13.569,13.469,13.304,13.182,13.141,"0"
15.995,15.717,15.624,15.152,15.104,14.753,14.619,14.334,14.307,14.191,14.171,14.173,"0"
18.556,18.391,18.131,17.071,16.842,16.105,15.98,15.146,15.019,14.803,14.685,14.648,"0"
23.239,20.639,20.29,20.699,20.234,20.378,19.982,19.953,19.811,19.805,19.845,19.778,"0"
20.93,20.693,20.998,19.392,19.112,18.235,18.11,17.138,16.998,16.78,16.644,16.6,"0"
13.641,13.421,13.346,12.836,12.801,12.458,12.335,12.356,12.055,12.3,11.975,11.961,"0"
20.629,20.687,20.033,19.106,18.9,18.258,18.072,17.348,17.235,17.076,16.972,16.935,"0"
19.168,19.068,19.029,18.086,18.026,17.382,17.231,16.643,16.55,16.371,16.289,16.244,"0"
20.918,20.446,21.569,19.393,19.171,18.578,18.452,17.729,17.638,17.426,17.318,17.261,"0"
22.098,23.253,23.851,20.981,21.346,21.017,20.822,19.714,19.639,19.298,19.281,19.369,"0"
20.772,20.318,20.194,19.128,18.979,18.269,18.222,17.29,17.152,16.906,16.757,16.705,"0"
19.253,19.154,19.362,18.245,18.177,17.618,17.522,16.966,16.887,16.742,16.656,16.641,"0"
20.434,20.409,20.011,19.466,19.498,18.972,18.889,18.259,18.181,18.002,17.985,17.928,"0"
19.817,19.489,19.452,18.632,18.462,17.795,17.683,17.081,16.96,16.793,16.735,16.675,"0"
21.054,20.449,19.982,19.949,19.548,19.284,19.095,18.651,18.575,18.457,18.367,18.381,"0"
21.342,22.346,21.518,21.007,21.889,21.319,20.962,19.769,19.48,18.711,18.363,18.254,"0"
17.718,17.587,17.405,16.729,16.643,16.144,16,15.551,15.486,15.353,15.311,15.28,"0"
20.204,20.063,19.928,19.462,19.427,19.231,19.122,18.744,18.732,18.596,18.529,18.516,"0"
20.692,20.106,20.62,19.168,19.043,18.093,18.023,17.078,16.912,16.675,16.549,16.49,"0"
19.67,20.185,19.491,18.53,18.467,17.728,17.684,16.899,16.788,16.569,16.443,16.407,"0"
24.976,21.643,20.761,21.924,20.693,19.9,19.644,18.541,18.257,17.802,17.533,17.455,"0"
20.346,20.701,20.468,21.057,20.891,20.301,20.296,19.936,19.897,19.793,19.432,20.01,"0"
18.515,18.104,17.871,17.57,17.489,17.293,17.201,16.982,16.96,16.89,16.877,16.884,"0"
19.854,19.382,19.159,18.552,18.35,17.756,17.69,16.934,16.82,16.627,16.514,16.454,"0"
21.764,22.287,22.379,21.07,21.378,20.704,21.064,20.271,20.147,20.073,19.782,20.017,"0"
22.688,22.822,23.439,21.315,21.3,20.8,20.651,20.131,19.888,19.852,19.627,19.644,"0"
19.16,18.883,18.882,18.303,18.235,17.82,17.69,17.287,17.257,17.11,17.037,17.063,"0"
24.759,23.857,20.922,23.459,20.865,21.505,20.507,19.435,19.145,18.396,18.041,17.917,"0"
19.856,19.614,19.151,18.299,18.043,17.012,16.885,15.727,15.402,14.941,14.664,14.605,"0"
19.986,20.414,20.215,19.1,19.023,18.368,18.232,17.657,17.58,17.403,17.31,17.249,"0"
21.214,20.555,20.267,20.426,19.991,19.81,19.609,19.509,19.544,19.307,19.553,19.184,"0"
22.859,20.907,20.894,20.748,20.367,20.214,19.928,19.358,19.189,19.028,19.056,19.016,"0"
16.701,16.408,16.306,15.86,15.804,15.513,15.384,15.139,15.144,15.032,15.017,15.006,"0"
22.314,23.167,21.513,21.928,22.229,21.351,21.039,21.042,20.583,19.484,18.945,18.982,"0"
20.669,20.576,21.356,20.24,19.81,18.81,18.866,17.788,17.687,17.406,17.238,17.222,"0"
15.856,15.688,15.572,14.942,14.864,14.415,14.256,13.862,13.818,13.684,13.657,13.632,"0"
18.121,18.015,17.57,16.664,16.402,15.653,15.548,14.737,14.621,14.444,14.344,14.311,"0"
18.716,18.604,18.309,17.575,17.479,16.901,16.735,16.215,16.125,15.962,15.889,15.855,"0"
22.217,22.934,21.784,21.027,20.334,20.493,20.528,19.791,19.79,19.582,19.565,19.577,"0"
20.34,20.217,19.413,18.782,18.575,18.019,17.839,17.214,17.144,16.969,16.884,16.838,"0"
18.743,18.559,18.562,17.82,17.717,17.264,17.106,16.69,16.635,16.508,16.476,16.431,"0"
19.367,19.189,19.009,17.982,17.801,16.99,16.893,15.974,15.798,15.547,15.397,15.35,"0"
16.367,16.197,16.073,15.387,15.326,14.872,14.71,14.338,14.291,14.177,14.14,14.131,"0"
24.011,21.014,21.053,22.407,22.016,20.591,20.282,19.14,18.587,17.881,17.405,17.282,"0"
21.083,22.665,20.777,22.246,20.576,20.766,20.327,20.487,20.248,20.205,20.029,20.038,"0"
22.024,23.533,23.035,20.748,21.9,20.435,20.181,19.056,18.89,18.629,18.461,18.424,"0"
21.72,20.469,20.28,19.879,20.007,18.495,18.359,17.102,16.627,15.988,15.588,15.496,"0"
21.358,20.535,21.253,20.605,20.209,20.047,19.893,19.716,19.828,19.649,19.682,19.621,"0"
21.427,21.02,21.014,19.963,19.724,18.7,18.663,17.48,17.254,16.966,16.776,16.712,"0"
16.522,16.289,16.173,15.598,15.514,15.168,15.017,14.722,14.69,14.591,14.58,14.562,"0"
16.089,15.963,15.717,15.021,14.925,14.405,14.25,13.811,13.754,13.641,13.6,13.564,"0"
19.9,20.271,19.782,19.288,19.126,18.575,18.418,17.962,17.87,17.755,17.675,17.664,"0"
19.717,19.886,19.647,18.397,18.194,17.475,17.373,16.579,16.463,16.256,16.141,16.117,"0"
14.846,14.611,14.399,13.552,13.377,12.694,12.463,12.22,11.8,12.022,11.605,11.54,"0"
22.377,20.955,20.426,20.718,20.415,19.565,19.181,18.482,18.443,18.173,18.049,18.056,"0"
21.013,20.675,20.556,21.063,20.164,19.975,19.822,19.626,19.619,19.492,19.461,19.516,"0"
14.574,14.445,14.311,13.614,13.532,13.081,12.937,12.744,12.545,12.659,12.452,12.437,"0"
16.529,16.284,16.203,15.629,15.557,15.125,14.961,14.6,14.555,14.428,14.39,14.359,"0"
20.746,21.222,20.586,20.348,20.225,19.942,19.733,19.454,19.41,19.314,19.334,19.17,"0"
18.61,18.487,18.231,17.399,17.216,16.626,16.476,15.892,15.805,15.651,15.594,15.563,"0"
18.748,18.491,18.39,17.695,17.593,17.052,16.861,16.449,16.376,16.247,16.21,16.179,"0"
21.037,22.526,22.046,22.512,21.899,21.807,21.316,21.041,20.781,21.036,21.11,21.43,"0"
20.317,20.716,20.451,19.364,19.235,18.368,18.356,17.271,17.112,16.858,16.711,16.656,"0"
19.969,19.493,19.302,18.909,18.788,18.364,18.228,17.904,17.849,17.722,17.653,17.697,"0"
21.094,21.064,20.781,21.511,20.882,20.218,19.835,18.87,18.57,18.155,17.854,17.848,"0"
19.543,19.204,19.043,18.285,18.136,17.521,17.331,16.781,16.679,16.498,16.399,16.37,"0"
20.046,20.207,19.434,18.621,18.319,17.405,17.324,16.275,16.12,15.85,15.695,15.643,"0"
23.328,21.621,20.971,21.67,21.547,20.047,19.853,18.813,18.665,18.206,17.981,17.941,"0"
21.044,20.547,21.054,21.357,22.056,21.362,23.982,20.047,19.925,19.084,18.596,18.619,"0"
16.064,15.778,15.669,15.147,15.081,14.775,14.647,14.384,14.377,14.295,14.295,14.285,"0"
20.343,19.966,19.782,19.309,19.256,18.961,18.858,18.531,18.406,18.367,18.346,18.319,"0"
18.711,18.785,18.326,17.596,17.471,16.869,16.722,16.16,16.084,15.913,15.832,15.811,"0"
16.913,16.764,16.459,15.774,15.639,15.109,14.931,14.482,14.426,14.29,14.253,14.232,"0"
19.64,19.385,19.313,18.782,18.808,18.46,18.427,18.112,18.104,17.971,17.924,17.929,"0"
20.895,20.903,20.836,19.521,19.504,18.307,18.054,16.975,16.567,15.926,15.547,15.444,"0"
20.766,20.662,23.18,19.969,19.446,18.355,18.226,17.07,16.65,15.989,15.613,15.513,"0"
17.955,17.826,17.741,17.046,16.975,16.539,16.374,16,15.956,15.831,15.79,15.774,"0"
18.15,17.825,17.789,17.368,17.283,16.944,16.791,16.488,16.464,16.321,16.309,16.273,"0"
19.861,19.526,19.414,18.82,18.736,18.291,18.126,17.717,17.649,17.494,17.445,17.447,"0"
17.956,17.937,17.534,16.649,16.426,15.763,15.632,14.956,14.871,14.697,14.618,14.597,"0"
19.544,19.426,19.066,18.372,18.28,17.641,17.447,16.911,16.83,16.649,16.592,16.537,"0"
20.858,20.613,19.925,19.766,19.282,18.097,17.935,16.755,16.373,15.746,15.401,15.298,"0"
19.497,19.431,19.523,18.783,18.59,18.176,18.048,17.673,17.589,17.467,17.45,17.476,"0"
20.775,20.536,19.966,18.882,18.508,17.573,17.513,16.349,16.147,15.844,15.649,15.615,"0"
20.959,20.546,20.64,19.478,19.453,18.631,18.322,17.725,17.535,17.341,17.244,17.147,"0"
18.624,18.622,18.383,17.628,17.568,17.017,16.878,16.404,16.334,16.189,16.156,16.097,"0"
18.632,18.373,18.367,17.822,17.734,17.35,17.221,16.863,16.802,16.698,16.669,16.633,"0"
23.448,21.539,21.694,23.297,22.555,20.971,20.685,19.609,19.078,18.537,18.101,18.054,"0"
17.037,16.715,16.61,16.041,15.956,15.581,15.417,15.082,15.047,14.92,14.88,14.868,"0"
17.92,17.842,17.47,16.7,16.591,15.986,15.796,15.251,15.161,14.983,14.904,14.872,"0"
16.004,15.662,15.524,15.082,15.008,14.7,14.57,14.291,14.267,14.151,14.138,14.134,"0"
19.229,18.968,18.805,18.149,18.076,17.512,17.409,16.876,16.814,16.645,16.561,16.543,"0"
23.772,22.05,20.604,21.096,21.75,20.104,20.038,18.799,18.438,17.918,17.545,17.478,"0"
20.223,19.94,19.599,18.77,18.452,17.392,17.246,16.011,15.721,15.303,15.048,14.978,"0"
22.412,21.431,21.381,21.108,20.665,19.587,19.347,18.082,17.822,17.324,17.069,17,"0"
19.755,19.641,19.455,18.91,18.738,18.444,18.298,17.941,17.939,17.802,17.762,17.721,"0"
21.001,22.534,21.201,20.609,20.643,19.487,19.31,18.215,17.771,16.926,16.46,16.302,"0"
22.354,23.159,23.642,20.698,21.421,20.62,20.763,19.423,19.338,18.897,18.712,18.637,"0"
21.663,22.217,21.284,24.033,20.883,20.823,20.523,20.056,20.264,19.837,19.901,20.037,"0"
15.745,15.526,15.371,14.582,14.459,13.835,13.631,13.137,12.99,12.939,12.694,12.665,"0"
18.426,18.065,17.852,16.961,16.718,15.706,15.577,14.461,14.146,13.675,13.387,13.306,"0"
19.773,19.238,19.019,18.552,18.44,17.994,17.786,17.362,17.281,17.133,17.085,17.071,"0"
20.838,20.18,19.746,18.892,18.565,17.573,17.503,16.305,16.108,15.781,15.577,15.526,"0"
22.291,22.427,21.972,21.335,20.249,19.972,19.9,18.898,18.702,18.488,18.228,18.316,"0"
20.631,20.142,20.517,19.645,19.528,19.161,18.83,18.379,18.331,18.136,17.993,17.911,"0"
21.446,22.846,21.717,20.449,19.863,19.1,19.048,18.128,17.959,17.777,17.646,17.571,"0"
17.767,17.721,17.361,16.507,16.33,15.699,15.57,14.949,14.858,14.71,14.648,14.624,"0"
15.697,15.403,15.29,14.804,14.747,14.426,14.305,14.038,14.026,13.922,13.923,13.913,"0"
18.588,18.509,18.375,17.701,17.611,17.091,16.969,16.53,16.488,16.338,16.282,16.261,"0"
17.327,17.051,16.98,16.318,16.214,15.775,15.631,15.209,15.151,15.013,14.969,14.94,"0"
